,RadioOperatorName,TrafficDirection,DeviceManufacturer,DeviceName,LocationLatitude,LocationLongitude,TrafficVolume,day,hour,RSRP
0,Operator C,Uplink,SAMSUNG,GALAXY A50,24.828726,46.81041,0.140186,1.0,21.0,-62.0
1,Operator C,Uplink,SAMSUNG,GALAXY A50,24.828726,46.81041,0.140186,1.0,21.0,-67.0
2,Operator C,Uplink,SAMSUNG,GALAXY A50,24.828726,46.81041,0.140186,1.0,21.0,-64.0
3,Operator C,Uplink,SAMSUNG,GALAXY A50,24.828726,46.81041,0.140186,1.0,21.0,-66.0
4,Operator C,Uplink,SAMSUNG,GALAXY A50,24.828726,46.81041,0.140186,1.0,21.0,-65.0
5,Operator C,Downlink,SAMSUNG,GALAXY A50,24.828726,46.81041,0.338697,1.0,21.0,-62.0
6,Operator C,Downlink,SAMSUNG,GALAXY A50,24.828726,46.81041,0.338697,1.0,21.0,-67.0
7,Operator C,Downlink,SAMSUNG,GALAXY A50,24.828726,46.81041,0.338697,1.0,21.0,-64.0
8,Operator C,Downlink,SAMSUNG,GALAXY A50,24.828726,46.81041,0.338697,1.0,21.0,-66.0
9,Operator C,Downlink,SAMSUNG,GALAXY A50,24.828726,46.81041,0.338697,1.0,21.0,-65.0
10,Operator A,Uplink,HUAWEI,HUAWEI Y5 2019,24.69142,46.65276,0.058222,1.0,21.0,-81.0
11,Operator A,Downlink,HUAWEI,HUAWEI Y5 2019,24.69142,46.65276,0.141252,1.0,21.0,-81.0
12,Operator A,Downlink,HUAWEI,HUAWEI Y5 2019,24.691517,46.65258,0.676829,1.0,22.0,-97.0
13,Operator A,Downlink,HUAWEI,HUAWEI Y5 2019,24.691517,46.65258,0.676829,1.0,22.0,-94.0
14,Operator A,Uplink,HUAWEI,HUAWEI Y5 2019,24.691517,46.65258,0.24525,1.0,22.0,-97.0
15,Operator A,Uplink,HUAWEI,HUAWEI Y5 2019,24.691517,46.65258,0.24525,1.0,22.0,-94.0
16,Operator A,Downlink,HUAWEI,HUAWEI Y5 2019,24.691517,46.65258,6.218721,1.0,22.0,-97.0
17,Operator A,Downlink,HUAWEI,HUAWEI Y5 2019,24.691517,46.65258,6.218721,1.0,22.0,-94.0
18,Operator A,Uplink,HUAWEI,HUAWEI Y5 2019,24.691517,46.65258,0.647324,1.0,22.0,-97.0
19,Operator A,Uplink,HUAWEI,HUAWEI Y5 2019,24.691517,46.65258,0.647324,1.0,22.0,-94.0
20,Operator A,Downlink,SAMSUNG,GALAXY J5 PRIME,24.599922,46.552475,1.357487,2.0,7.0,-104.0
21,Operator A,Downlink,SAMSUNG,GALAXY J5 PRIME,24.599922,46.552475,1.357487,2.0,7.0,-106.0
22,Operator A,Downlink,SAMSUNG,GALAXY J5 PRIME,24.599922,46.552475,1.357487,2.0,7.0,-96.0
23,Operator A,Uplink,SAMSUNG,GALAXY J5 PRIME,24.599754,46.552315,0.500094,2.0,7.0,-99.0
24,Operator C,Downlink,HUAWEI,HUAWEI Y9 PRIME 2019,24.813534,46.818344,1.36227,2.0,12.0,-90.0
25,Operator C,Downlink,HUAWEI,HUAWEI Y9S,24.813534,46.818344,1.36227,2.0,12.0,-90.0
26,Operator C,Uplink,HUAWEI,HUAWEI Y9 PRIME 2019,24.813534,46.818344,0.371303,2.0,12.0,-90.0
